cell_id,lifespan_frames,start_frame,end_frame,total_distance,net_displacement,directionality,mean_speed,max_speed,mean_area,mean_circularity
1,30,0,29,179.3848205154723,32.474250874152446,0.18103120866545938,6.18568346605077,17.294964628728458,2517.9333333333334,0.5785193424326464
2,30,0,29,106.23716794621058,14.357445425777868,0.1351452199200872,3.6633506188348472,10.421616855252307,4817.6,0.8100885358013399
3,30,0,29,92.35165772200278,11.653052936038092,0.1261813076611591,3.184539921448372,16.659602819202064,3445.9,0.8917581000922424
4,30,0,29,1143.0085872601867,86.14684495765947,0.07536850196738687,39.41408921586851,393.8401863207738,6562.8,0.804767466291042
5,30,0,29,1897.9939395054835,13.417194097572967,0.007069144857790629,65.44806687949944,440.1140318701571,4731.533333333334,0.8246332139570887
6,30,0,29,3388.849181470194,397.35551994484814,0.11725382236469499,116.85686832655841,450.2923429196536,5813.8,0.8250768504973419
7,30,0,29,2595.630648947651,51.83724385048589,0.01997096307654647,89.5045051361259,372.70856535024217,3249.5666666666666,0.8426791779694203
8,30,0,29,1532.7744558888978,324.4568861919893,0.211679471135124,52.85429158237579,363.74623516158204,6004.766666666666,0.7396775652764002
9,30,0,29,1863.207793303527,176.67922354220576,0.09482529226058455,64.24854459667334,465.74791022046344,4298.7,0.7001740848120513
10,30,0,29,1202.057634996689,419.12847552367737,0.3486758565655895,41.4502632757479,355.3853783239093,4602.3,0.7911918277370914
11,30,0,29,1743.9978498432665,154.2588880410064,0.08845130632177653,60.13785689114712,341.56504659745656,4947.433333333333,0.7819235428391818
12,30,0,29,4759.153598772651,412.7716462438783,0.08673215471556306,164.10874478526384,746.8969305896683,4864.266666666666,0.7976873596027378
13,30,0,29,5148.245999751864,288.15027941624953,0.05597057316805333,177.5257241293746,603.5987200640174,4638.5,0.6999638671969972
14,30,0,29,4425.845364109324,257.7988754511496,0.058248504916535916,152.61535738308012,604.9133309400383,5746.333333333333,0.7434949777459917
15,30,0,29,2576.5193035630446,178.01530612616185,0.06909139236022262,88.84549322631189,598.3865726654344,5228.4,0.7050312516321653
16,30,0,29,1863.9957198391194,92.58355350033159,0.04966940241060341,64.27571447721101,356.74902822386997,4492.0,0.7541351967256075
17,30,0,29,5539.647151351276,372.0573966345804,0.06716265250645524,191.0223155638371,800.0993607104799,7010.166666666667,0.7261657205142842
18,30,0,29,5348.825627796913,168.66422912708427,0.03153294589574312,184.44226302747975,785.5459338933581,4758.4,0.7166534374969002
19,30,0,29,8333.123574691988,56.495216035785816,0.006779596573770239,287.34908878248234,806.6657534683035,3617.8333333333335,0.6124511772620702
20,30,0,29,5148.051840240356,245.71420621087012,0.04772955165101796,177.51902897380538,783.6702624265619,5855.466666666666,0.7237074344336664
21,30,0,29,4328.064999194222,71.16829453655019,0.01644344402170484,149.24362066186973,665.3746869306486,4960.466666666666,0.7897041686064654
22,30,0,29,4356.372931254619,237.03554006033164,0.054411214053721124,150.2197562501593,759.4761157045558,4763.866666666667,0.8079150328582394
23,30,0,29,4251.722800764386,93.65254122364506,0.02202696309524411,146.6111310608409,549.1500742033493,4224.233333333334,0.7063001211172184
24,30,0,29,5041.7926962739075,563.9836318581177,0.1118617257458691,173.85492056116922,640.7700165914531,5308.1,0.7555454250831241
25,30,0,29,3959.470325979034,103.51103383236622,0.02614264669524242,136.5334595165184,479.5623620551658,4814.966666666666,0.7092022203975478
26,29,0,29,5401.597188774657,106.28135078461047,0.01967591197016307,192.8639424060229,472.0954240911103,4399.758620689655,0.6488269244252485
27,29,0,29,3707.987271667694,13.545460094858578,0.003653049242740903,132.40183386506726,620.140098859534,6722.379310344828,0.6145738577523562
28,29,0,29,6868.361440439691,190.68530595095748,0.027762852552900945,233.52106349901595,727.4716628576934,4511.448275862069,0.7061822174785497
29,26,0,28,5600.488590161207,7.051675063201345,0.0012591178340385417,197.15003236306123,704.1430098635357,3411.076923076923,0.6514995110473565
30,20,1,25,5842.210396909072,306.39972744835507,0.05244585638518966,298.67692154727985,704.9454309690354,2167.95,0.5896886736750077
31,12,8,24,2893.6821810619094,479.06636439907226,0.165555971396716,226.8298825039424,676.4785336167788,2077.5,0.5460706375085946
32,5,8,22,643.1142138085461,10.053217897379046,0.015632087864834332,74.4113745828083,137.64183173787285,1947.4,0.5011570122054309
33,1,19,19,0.0,0.0,1.0,0.0,0.0,1940.0,0.4429354967647782
